income,employment_length,existing_debt,loan_amount,credit_score,payment_consistency_pct,income_volatility_score,debt_trend,default
50885.28,14.5,6865.09,8996.35,807,89.7,3.2,0.555,0
34129.38,10.0,15078.63,14260.49,613,81.3,47.6,0.263,1
34424.9,5.9,15006.2,1845.8,592,98.3,57.8,0.071,0
77483.95,7.8,25369.37,6003.78,680,52.0,23.3,-0.384,1
81535.17,1.8,22403.75,45232.3,824,89.0,42.0,-0.021,0
73037.98,4.7,0.0,6655.52,850,95.0,32.5,-0.279,0
37570.32,7.2,12894.41,16307.91,596,63.7,48.6,0.505,1
61555.15,1.8,14153.49,17232.59,601,63.2,26.1,-0.166,0
57767.24,1.1,4106.96,33658.21,842,98.0,55.3,-0.275,0
61100.71,5.4,10368.41,18574.2,776,100.0,32.1,-0.076,0
87490.53,1.2,3538.77,13007.87,801,100.0,28.7,-0.274,0
61265.83,6.3,29544.91,30454.09,661,74.3,48.0,0.082,1
78700.32,9.0,22527.11,19206.16,704,86.8,53.0,0.637,0
56227.91,1.9,18509.2,11376.25,734,88.7,0.0,0.003,0
63514.0,2.0,26711.4,29311.81,626,60.1,0.0,-0.323,0
76665.61,8.9,16543.71,34928.85,679,86.2,41.8,-0.055,0
24308.09,4.5,3440.12,4897.53,653,85.9,21.8,-0.445,0
45441.49,8.1,1076.58,6589.39,846,94.4,8.6,1.0,0
41826.9,3.5,13880.23,2145.22,624,76.0,27.5,0.63,0
38124.68,3.7,18959.31,16695.77,536,100.0,93.2,0.436,1
46568.13,4.4,15062.5,19558.37,702,85.1,8.4,0.263,0
123280.52,12.5,19685.61,33529.81,850,100.0,52.7,-0.058,1
33650.83,7.6,9227.27,29172.24,609,94.5,19.8,-0.05,0
92277.27,2.4,5977.43,16871.58,846,87.9,6.0,-0.077,0
21470.21,4.9,4095.88,12720.05,588,67.5,22.8,0.832,1
45062.84,3.3,27324.75,19017.79,639,65.5,6.6,-0.067,1
59249.59,2.8,10377.93,18991.22,850,100.0,3.6,-0.197,0
74788.71,6.2,28108.56,13009.28,659,96.3,20.5,-0.037,0
80111.49,5.3,48480.77,17574.58,692,80.0,13.2,0.181,0
83812.8,1.9,11538.69,14774.06,753,78.2,32.1,-1.0,0
44721.12,4.4,21361.35,16798.32,503,87.1,38.4,0.138,1
42011.83,2.8,10789.42,37295.4,537,65.2,19.2,-0.89,0
86845.57,5.9,13573.85,20354.88,815,77.5,47.6,0.515,0
48765.71,2.7,6660.42,9192.46,792,92.6,21.7,-0.603,0
26859.44,3.8,11878.29,2363.47,526,94.4,31.9,-0.281,0
29047.63,2.9,952.66,14644.94,834,78.8,0.0,-0.671,0
32672.9,0.8,3215.77,13513.01,795,100.0,36.6,0.63,0
71213.55,12.1,12373.74,9944.51,738,98.6,80.0,-0.004,0
58590.87,4.3,20662.31,24490.82,636,73.2,50.9,0.779,0
79202.8,12.4,21699.51,15499.85,654,66.1,31.5,0.696,0
42830.73,4.5,10717.85,21375.37,836,92.3,11.8,0.437,0
59112.45,7.0,29892.34,11298.54,504,77.7,67.6,-0.491,1
76425.73,2.5,8942.86,9218.32,665,75.0,31.8,0.058,0
45700.27,2.6,20090.11,24967.64,645,87.1,21.5,0.478,1
69649.19,4.2,13929.25,27335.58,850,94.1,22.0,0.136,0
37644.45,12.3,7521.02,11930.48,630,95.1,76.5,-0.129,0
44370.07,1.9,2477.7,24698.62,805,84.8,32.6,0.123,0
43916.45,0.6,12745.64,9097.33,563,51.9,44.0,0.157,0
28065.27,8.7,0.0,2655.73,775,97.4,30.9,-0.517,0
70815.62,7.3,33950.5,36509.49,662,72.7,33.7,-0.198,0
41849.23,3.0,13559.78,27134.97,617,88.3,26.5,0.229,1
54549.93,15.6,29448.26,11294.64,552,82.3,63.4,0.306,0
70573.55,16.0,16217.71,40306.06,755,100.0,35.9,0.085,0
69257.88,0.7,4968.0,30626.87,850,100.0,6.8,-0.143,0
78116.91,2.5,1858.77,15083.07,850,77.6,42.9,-0.067,0
51319.85,4.1,38135.24,16421.31,393,65.2,32.7,-0.264,1
42923.98,5.8,13217.63,6850.91,612,66.3,42.6,-0.036,1
51852.32,5.1,14694.95,22547.14,754,87.8,28.4,0.298,0
21417.55,4.3,7223.54,18294.38,463,76.4,24.2,0.85,1
24442.73,1.7,11671.27,6360.14,571,68.4,52.9,-0.421,1
26173.83,6.3,4794.0,7300.42,583,76.7,72.2,0.443,1
31304.41,6.5,8387.01,11432.77,663,90.3,0.0,0.134,0
67499.52,8.3,25153.94,28448.77,726,82.9,36.6,-0.56,1
32924.97,1.5,13842.31,13280.13,658,77.2,24.2,-0.034,0
44002.89,3.6,13738.0,3951.93,568,79.0,16.8,-0.064,0
110699.61,2.9,66920.03,42929.37,716,81.7,0.0,-0.001,0
44536.08,1.4,6232.62,4819.35,765,87.1,42.2,0.367,0
81278.24,3.6,19499.01,28700.34,620,87.9,25.3,0.691,0
32419.33,1.8,14478.77,12617.39,558,60.9,24.1,0.453,1
48388.11,1.2,14169.35,20172.97,619,86.3,59.1,0.074,0
32128.15,7.3,10147.69,4035.36,665,78.9,26.2,0.113,0
44960.15,3.0,11898.51,17147.8,582,69.8,25.4,0.728,1
86005.75,2.4,22897.59,34264.96,755,78.8,8.3,-0.371,0
20951.67,9.7,1973.07,6458.75,699,100.0,16.8,0.435,1
68798.21,6.7,22322.33,32238.72,663,95.3,64.3,-0.402,0
61744.15,0.5,16721.94,31813.04,521,85.4,47.2,-0.534,0
39074.19,5.8,2655.63,12209.05,721,71.4,60.8,0.221,0
24456.91,5.8,6673.98,1000.0,630,65.0,18.2,-0.58,0
56368.81,3.5,9405.57,24150.07,687,70.8,42.2,-0.137,0
40488.73,3.4,22382.9,6235.09,560,84.2,56.0,0.481,1
61572.58,0.9,14940.1,38475.97,643,84.5,46.6,-0.32,0
54831.42,15.5,7210.16,16125.82,706,74.9,66.6,0.629,0
130741.63,3.6,65890.38,67488.12,735,96.3,43.0,-0.79,0
47493.8,5.6,11400.53,11470.07,703,89.4,35.0,0.365,0
30855.69,3.7,6447.78,11500.38,673,46.9,0.0,-0.484,0
59790.47,2.4,16248.62,25825.04,602,85.5,43.3,-0.068,0
61144.68,7.7,13601.03,18011.8,647,94.6,47.0,0.076,0
114411.08,4.8,34231.25,23467.86,762,86.8,58.0,-0.099,0
85760.28,3.6,23492.9,1664.39,757,92.1,19.1,-0.09,0
65925.4,5.5,22409.58,5504.28,609,80.3,34.3,-0.508,0
121153.86,4.0,49849.19,65794.45,757,83.1,3.2,0.495,0
28174.72,13.0,1327.68,8292.0,740,83.4,2.7,-0.43,0
38106.37,7.5,6204.42,18884.39,726,86.6,45.3,-0.431,1
32545.14,6.2,3580.41,6745.0,587,75.9,60.3,-0.034,0
43721.91,1.0,1392.67,13861.31,736,99.3,61.0,-0.244,0
25408.08,6.3,15341.07,16695.2,544,100.0,43.8,0.294,0
76828.66,6.2,2307.16,7871.69,802,76.6,75.9,-0.187,0
47943.45,1.8,18614.08,16324.35,659,67.6,27.1,-0.0,0
24126.27,1.0,3341.12,4566.95,543,65.2,53.0,0.04,1
30990.36,7.3,3240.59,4362.52,756,89.7,8.6,0.341,0
64371.91,8.0,28971.58,18096.18,676,92.2,0.0,-0.185,0
85902.62,2.6,46530.72,39453.12,634,89.7,25.4,-0.585,0
162462.42,2.5,13660.01,20243.84,850,90.9,32.6,-0.283,0
269042.42,4.8,84761.33,124967.46,766,76.0,39.7,0.398,0
68045.04,3.0,4120.14,21028.07,756,56.1,31.3,0.122,0
31437.42,1.0,0.0,6925.49,771,77.0,42.2,-0.13,0
16770.46,1.8,7132.12,1000.0,496,100.0,69.8,0.021,1
62770.55,5.4,37527.71,11829.71,590,87.7,49.8,-0.093,0
34644.09,1.9,17949.93,27634.94,558,89.9,19.7,0.276,0
43111.86,8.3,18646.21,11968.03,638,96.7,0.0,0.118,0
38690.4,6.2,11377.78,14837.91,576,72.2,13.5,-0.098,1
50139.53,5.6,8695.29,18767.54,790,87.1,61.9,0.321,0
97371.53,4.7,48118.86,26886.55,653,91.2,24.9,0.412,0
59063.99,2.3,22191.36,19395.14,651,70.9,48.6,-0.322,0
49649.86,6.8,8381.14,14244.91,735,89.1,47.8,-0.315,0
30650.08,2.2,2881.88,4934.29,656,100.0,33.9,0.84,0
21567.1,8.6,3701.96,3002.14,632,78.4,33.3,0.219,1
41461.92,11.6,10054.12,15920.72,622,59.9,21.7,0.584,1
52597.28,4.8,6939.47,22408.68,694,86.4,79.5,0.312,0
143252.12,10.6,52069.11,30160.36,730,74.8,15.9,0.161,0
58200.6,1.8,8229.86,11950.02,724,86.5,57.4,-0.748,0
93014.13,6.2,23048.0,44399.53,723,72.2,51.6,-0.427,0
41166.8,4.2,935.21,1000.0,685,84.9,47.3,0.228,0
28233.96,7.4,4695.32,12225.73,772,100.0,32.6,-0.317,0
31862.52,0.5,14430.86,8608.45,650,83.6,5.4,-0.052,0
36356.4,7.1,2417.42,4997.73,562,60.9,12.0,0.319,0
174670.8,2.5,58536.86,60976.38,796,89.3,19.5,0.047,0
34483.54,4.4,0.0,1000.0,850,84.3,42.4,0.14,0
85919.76,15.3,15761.4,20196.44,763,87.0,52.8,0.486,0
32971.21,6.4,10055.1,5844.4,620,97.6,41.3,0.52,0
90433.06,5.8,36569.61,23925.31,698,76.6,40.2,-0.02,0
66951.45,5.4,14072.03,16006.41,580,80.0,55.8,0.446,1
49704.42,9.2,18656.94,1000.0,645,69.6,0.0,-0.336,0
52975.28,7.6,7197.55,27166.43,752,86.7,0.0,0.079,0
37792.53,5.5,9464.01,18202.93,697,86.3,4.0,0.198,0
69240.39,5.0,24036.33,36731.3,579,80.4,53.5,-0.037,0
42182.43,4.8,9591.47,16182.7,716,94.5,0.0,-0.078,0
27609.55,4.1,14353.22,9005.15,329,69.5,34.8,-0.392,1
26826.2,1.4,1749.67,13066.61,667,85.8,16.8,-0.012,0
59570.95,6.3,0.0,24985.78,819,92.4,38.1,-0.563,0
129120.35,2.7,29900.71,30150.82,844,76.4,32.2,-0.047,0
59159.67,3.7,30106.09,15592.47,706,64.8,40.0,0.021,1
50754.16,7.9,11062.34,23398.79,603,60.3,27.0,0.261,0
63399.06,4.1,22751.47,11202.59,694,86.2,49.1,-0.412,0
111112.78,3.9,67399.65,31026.61,635,100.0,64.3,0.119,0
61124.03,4.8,10400.35,20637.5,667,75.5,60.3,0.199,0
43217.03,3.3,3399.83,20106.56,763,90.3,27.8,-0.008,0
99554.33,15.1,40367.6,45917.58,616,50.0,17.7,0.157,1
68584.1,13.7,13853.49,14335.8,792,89.2,38.9,0.094,0
126079.23,13.5,29259.04,49873.12,694,68.8,74.5,-0.91,0
59920.8,5.4,19187.87,16457.59,601,78.5,33.9,-0.323,0
27626.81,2.6,6871.19,2777.88,625,85.1,51.8,0.75,0
25527.52,8.1,17308.27,8449.35,338,60.7,50.7,0.23,1
134324.04,3.4,34703.25,55350.27,788,100.0,50.4,-0.211,0
139806.72,8.6,16553.1,70781.8,829,75.5,60.5,0.128,0
49082.82,2.5,33307.42,18581.84,565,92.5,8.7,0.249,0
43881.45,5.7,25378.23,5524.31,649,100.0,15.7,0.539,0
121030.08,9.4,42481.34,28974.13,741,88.1,36.0,-0.136,0
29469.91,3.5,11509.56,15560.43,526,66.8,59.6,-0.209,1
33120.25,3.5,3294.61,1204.99,633,85.4,59.6,-0.174,0
77174.91,1.1,30761.11,22385.34,665,58.3,34.1,-0.2,1
43606.75,2.5,5821.81,3535.16,590,79.4,55.0,-0.212,0
54023.96,5.4,19682.13,9852.14,663,100.0,26.6,0.066,0
49518.74,6.0,7198.78,24345.92,686,64.2,18.5,-0.147,0
65229.43,6.6,19463.98,7853.73,730,72.5,8.4,-0.022,0
117490.77,0.7,37926.01,35321.61,810,100.0,32.3,0.655,0
56943.89,3.4,1714.36,29033.98,810,81.6,28.1,-0.335,0
77200.9,1.2,31770.77,16296.95,525,71.5,55.1,0.118,1
17542.91,5.2,3174.89,1000.0,592,89.4,46.3,-0.397,0
52743.98,0.9,22621.04,19068.43,626,77.4,36.1,0.324,0
34071.73,1.6,9631.65,14335.23,530,46.0,36.2,0.392,1
27712.89,7.5,5145.0,23371.64,554,65.0,26.6,-0.304,1
33423.56,2.8,3145.94,6329.27,724,100.0,0.0,-0.244,0
45081.72,10.7,22140.19,8286.19,622,88.6,11.4,0.233,0
89656.99,6.7,44298.22,40037.39,724,100.0,50.7,-0.096,0
26120.72,3.5,3193.68,7543.81,762,69.6,32.2,0.496,0
55096.82,8.3,18695.54,21934.15,642,83.2,8.8,-0.421,0
41510.71,3.8,9791.7,11447.42,641,81.6,62.3,0.377,1
45241.94,7.2,38566.73,23041.86,358,76.3,69.0,0.783,1
94043.88,2.4,20160.13,56869.1,744,86.9,59.1,0.137,0
72835.85,8.7,23743.24,28021.44,628,68.4,43.5,-0.223,1
113048.13,1.0,65297.49,62026.19,722,100.0,40.7,-0.272,0
49762.74,1.6,7747.59,29361.72,593,90.5,34.5,-0.057,0
36946.7,1.9,11172.06,9461.21,603,81.6,38.3,0.237,0
47900.33,2.6,13580.76,17424.44,670,85.9,47.6,-0.523,0
61906.05,5.5,22398.36,25340.47,652,79.8,49.1,-0.108,1
59701.67,4.3,12682.96,37697.78,658,59.9,44.1,0.046,1
29839.45,7.3,20295.06,4806.06,484,70.1,0.0,0.544,1
56940.91,9.5,18744.94,19493.28,686,81.5,58.0,0.652,0
61422.14,0.9,12229.54,28361.16,807,79.1,39.0,-0.046,0
216340.91,10.3,5465.97,25039.29,850,93.1,7.9,-0.388,0
152095.6,3.7,69517.98,56028.93,709,91.8,39.0,0.049,0
33884.61,13.3,11147.84,11876.78,595,76.2,41.0,0.062,1
46255.66,2.3,12418.68,8220.46,720,70.6,3.6,0.415,0
24224.19,0.6,10631.67,1000.0,592,94.6,22.1,-0.155,0
39148.26,6.8,10238.05,16272.86,633,86.7,12.9,-0.346,0
64445.99,6.5,13626.25,1000.0,768,75.3,15.5,-0.004,0
105158.02,1.7,20874.28,43696.3,750,68.0,46.4,-0.119,0
36279.35,1.8,19640.04,12214.62,661,74.5,22.6,-0.128,1
37805.86,7.6,14577.96,18615.76,590,89.5,36.9,-0.304,0
16630.46,5.7,1327.77,8624.96,679,100.0,49.8,-0.439,0
49539.9,3.4,16739.1,6863.78,682,81.0,26.3,0.214,1
30202.26,6.1,9320.1,8726.85,554,72.3,50.6,0.092,0
40489.92,5.3,12644.73,5238.9,608,100.0,62.1,-0.281,0
33447.31,2.0,9637.7,1701.06,620,78.8,51.9,0.287,1
51439.19,8.0,5743.71,26415.78,675,72.9,47.0,-0.645,0
20604.18,7.0,4544.86,7161.23,575,78.3,52.1,-0.143,1
24176.23,4.4,9032.27,8801.62,545,77.6,42.9,0.075,1
174745.5,7.6,22413.49,95814.32,835,100.0,52.0,0.388,0
26686.62,14.4,12161.91,8246.64,495,60.6,11.5,-0.194,0
29636.68,1.8,8476.76,5648.25,616,92.3,33.5,0.393,0
148791.67,3.5,61836.22,41621.55,732,83.8,42.8,-0.228,0
267744.1,3.7,78727.12,124034.74,847,76.2,33.5,0.288,0
28442.46,7.5,4863.2,17723.37,608,79.3,85.0,0.589,1
44243.47,2.6,6555.56,17155.81,763,80.5,31.2,-0.35,0
65372.41,7.2,15373.21,36738.73,764,85.2,0.0,0.053,0
140194.17,2.9,19738.45,11148.29,850,77.7,36.1,0.189,0
31483.81,1.6,12967.12,3651.4,591,83.1,51.6,-0.435,1
47339.35,4.6,25311.35,8136.22,487,73.1,17.5,0.151,1
83078.04,2.8,8992.11,37014.8,807,100.0,34.3,-0.198,0
68811.17,4.9,36375.97,37066.79,844,98.1,33.5,-0.295,0
44051.48,5.8,19783.71,3656.85,552,90.8,33.8,-0.148,0
50332.05,0.9,12694.83,20728.22,716,77.8,23.0,-0.174,0
25433.11,3.1,3649.02,7834.29,815,95.5,56.9,0.28,0
47524.68,4.6,8010.03,10853.45,606,88.2,78.3,-0.0,1
46792.91,7.7,13872.0,14865.85,755,85.7,18.2,0.809,0
61555.44,7.0,4549.02,28862.91,850,76.5,8.9,-0.188,0
39917.5,2.2,13948.11,10431.0,629,87.8,26.2,0.166,0
70217.03,3.8,3558.07,4787.12,691,100.0,63.1,-0.053,0
94560.37,6.0,28853.88,54138.99,771,85.1,29.8,-0.447,0
59011.41,3.6,37534.12,12155.37,543,80.3,42.3,0.557,1
65740.21,2.3,15738.84,19417.55,728,85.4,16.8,0.042,0
55783.61,4.2,6662.67,33024.43,751,84.6,70.7,-0.273,0
54178.88,5.6,26003.37,18767.31,598,76.3,29.1,0.14,0
36429.82,2.0,20632.23,8831.93,396,73.6,40.0,0.362,0
64477.52,6.5,24813.13,1543.81,706,95.1,19.1,-0.297,0
51353.71,4.8,10742.07,20665.8,789,100.0,17.2,0.018,0
171312.14,6.7,88327.39,54463.79,786,100.0,34.9,0.364,0
128713.62,4.1,13851.64,49659.1,850,90.4,37.1,0.058,0
66984.44,13.0,28390.31,34907.49,593,85.6,52.3,0.194,1
35607.75,5.6,9970.3,4844.97,767,96.6,1.2,-0.092,0
29383.06,7.2,3874.29,8946.67,640,71.3,16.0,-0.551,0
104310.64,6.5,24409.58,49263.59,815,93.0,21.3,-0.088,0
62599.47,3.8,5682.36,27894.37,850,98.5,37.4,-0.196,0
70550.14,5.2,14671.19,10329.86,757,98.3,12.4,-0.038,0
20753.66,2.7,3884.52,5723.21,643,100.0,33.1,-0.192,0
90227.65,12.4,5960.33,41537.63,814,75.6,22.1,0.06,0
69559.04,6.0,18850.03,31815.94,664,77.1,32.3,-0.121,0
29415.09,2.2,7699.83,16667.69,660,81.0,19.5,0.283,0
41800.41,10.6,23394.91,12155.42,500,68.4,14.8,0.215,0
62632.81,3.9,21862.47,23513.59,765,91.5,40.7,-0.324,0
55762.49,7.9,21266.63,13666.99,688,93.5,57.3,0.44,0
46134.02,0.9,14916.92,17121.88,601,91.9,51.3,-0.253,0
51178.84,9.3,22946.79,28283.86,643,86.1,57.3,-0.394,0
47165.24,5.8,16710.79,26798.69,682,98.1,59.6,0.369,1
58918.44,2.1,8623.89,21426.28,699,92.1,31.8,-0.207,0
121700.77,5.8,41138.93,66841.84,720,75.6,72.4,0.034,0
13204.83,11.6,2378.11,2433.04,463,42.7,50.1,-0.451,1
47559.29,2.7,1082.13,12948.05,661,79.4,16.0,-0.128,0
59699.67,2.7,9674.04,14501.38,586,84.5,21.6,-0.04,0
63754.6,3.7,13105.07,20065.01,700,84.7,38.0,-0.137,0
44154.36,4.6,23506.64,19709.87,505,81.5,52.6,-0.18,1
20615.59,8.3,4327.81,7117.96,621,76.5,30.4,0.014,1
64886.67,6.1,27778.74,9934.0,600,72.1,15.6,0.347,1
140090.32,3.7,34809.42,17232.41,695,69.5,50.8,-0.33,0
23303.91,5.4,7541.98,6965.94,724,90.1,12.7,-0.885,0
87125.55,12.8,9609.44,43390.16,850,99.2,41.1,0.434,0
45220.74,6.8,17461.07,18528.19,503,66.5,35.9,-0.23,0
52379.55,4.0,15398.85,15407.15,783,83.1,8.2,-0.201,0
30360.75,3.6,2007.66,4721.26,797,95.0,70.5,-0.191,1
45073.47,5.2,32154.25,18792.67,496,81.4,35.3,-0.465,1
110749.32,8.2,47350.91,27723.71,739,94.0,11.3,-0.138,0
74642.13,2.4,29826.26,26701.58,586,99.1,36.0,-0.098,0
140473.11,7.5,50865.55,32405.86,739,89.5,0.4,0.152,0
103525.84,4.0,30719.38,19890.79,709,77.1,42.2,-0.192,0
68974.88,4.4,23953.11,14462.88,685,100.0,52.2,-0.854,0
141373.98,19.6,12786.82,13740.52,774,80.3,89.0,-0.468,0
68971.33,7.0,14911.53,37141.14,735,80.3,37.0,0.39,0
85424.95,2.9,36275.72,25046.99,831,91.2,21.8,-0.294,0
46022.51,5.8,7223.0,14271.1,664,79.8,39.1,0.191,0
56195.96,8.5,18449.01,27034.8,609,80.9,63.8,-0.25,0
36916.61,7.0,2043.52,17333.15,694,78.8,45.0,0.284,1
93364.94,0.5,26847.33,32355.24,692,81.5,51.7,0.035,0
28337.27,4.3,9178.9,3646.31,699,86.8,50.2,-0.508,0
83307.4,6.0,28570.27,18157.74,606,56.4,45.1,-0.41,0
48783.23,5.7,16006.66,7871.1,730,82.6,7.0,-0.521,0
103175.42,3.1,25576.29,47314.05,850,59.3,5.9,0.319,0
81877.37,7.1,50097.51,25320.39,705,78.3,3.4,-0.441,0
147466.36,9.3,85346.04,62958.23,709,88.7,11.1,-0.129,0
80977.46,1.0,31935.06,38560.68,658,79.4,13.4,-0.028,0
22819.66,0.9,14436.51,1000.0,391,93.8,72.2,0.078,1
52217.65,5.8,10194.8,16642.58,744,88.9,20.9,-0.161,0
28435.57,7.5,11153.52,7335.12,419,53.8,37.0,-0.551,1
40739.2,2.7,9079.98,8395.77,850,100.0,30.1,-0.422,0
124389.82,0.5,36302.84,60624.0,728,87.5,38.9,-0.368,0
76929.42,4.4,31095.27,3178.79,654,76.0,36.4,-0.927,0
36886.03,5.7,8706.58,15573.51,682,77.4,9.9,0.151,0
31022.11,3.5,9508.59,6223.06,447,54.8,47.0,0.177,1
55162.03,8.6,18594.91,13495.32,728,87.0,21.4,-0.375,0
27747.25,5.5,15088.49,3195.74,590,93.1,20.7,0.457,0
37454.15,2.5,8087.13,14785.46,631,74.5,28.9,-0.037,0
64318.67,2.7,14038.24,13016.98,697,71.3,51.2,0.297,0
102275.11,4.4,19116.12,17857.59,794,86.0,22.5,0.272,0
75721.61,3.3,47380.46,20510.05,638,100.0,36.8,-0.047,0
15364.13,0.8,4129.27,3458.2,547,99.3,43.1,-0.71,0
64048.87,5.2,9316.44,34140.61,784,95.6,40.1,0.07,0
56365.83,2.8,19795.0,12984.3,733,100.0,39.0,0.184,0
68025.62,3.2,9658.07,17815.94,768,96.9,6.9,-0.228,0
131783.45,1.8,75451.69,66049.03,734,100.0,37.5,0.056,1
17417.29,11.8,5293.64,2093.96,533,85.2,16.7,-0.01,0
39139.72,6.7,19667.97,17877.88,655,79.1,0.0,-0.334,0
74981.63,13.7,16066.98,39602.53,764,99.9,25.7,-0.035,0
22700.07,3.5,11898.88,2828.91,372,70.3,24.6,-0.178,1
121999.47,6.9,30872.36,29089.64,709,89.9,94.2,0.131,1
66343.17,5.2,17925.76,19476.56,677,75.5,54.5,-0.207,1
86303.13,2.6,29709.27,5964.51,687,88.7,50.7,-0.249,0
39576.11,3.5,7072.52,12664.28,760,87.8,26.8,-0.573,0
84759.24,6.7,17896.38,13692.18,752,86.3,31.3,0.772,0
97505.04,1.8,41456.12,58749.46,626,83.8,86.4,-0.158,1
61579.41,8.7,14307.06,25508.68,743,91.5,22.3,-0.396,0
61631.01,4.9,23624.83,15692.03,783,93.7,40.1,0.211,0
62861.48,7.9,19827.15,20652.93,577,64.4,71.8,0.065,1
33696.87,5.7,6777.21,14419.31,814,83.4,20.5,0.192,0
49954.07,1.0,9372.59,19091.77,842,78.1,38.0,0.229,0
49817.05,4.3,12098.26,20371.93,628,86.7,34.6,0.384,0
66894.14,8.8,20651.92,29299.81,734,78.2,17.2,-0.373,0
93892.27,4.9,29984.1,7057.83,722,100.0,50.5,0.051,0
30266.75,4.4,2933.14,1000.0,722,83.0,12.7,-0.553,0
50576.64,4.9,10516.93,5953.41,637,97.8,50.5,-0.107,0
122369.51,0.8,21443.15,51553.31,754,70.7,43.6,0.235,0
35991.08,9.4,8830.91,13299.66,730,80.1,53.0,-0.313,0
34467.17,0.4,11538.34,8526.14,542,75.4,31.1,0.781,0
60552.64,10.8,10033.53,23606.51,768,89.5,42.8,0.006,0
86198.83,3.3,21525.95,14459.11,687,67.4,55.5,-0.634,0
54517.9,6.0,30908.59,21521.57,519,60.1,6.8,0.247,1
112524.73,0.7,9214.44,38929.82,850,75.2,10.8,0.777,0
86789.13,7.4,24737.91,24644.85,723,91.9,46.6,-0.783,0
86077.3,6.6,8348.88,5672.24,749,72.7,51.5,0.25,0
73479.67,6.3,25185.85,24302.1,716,87.7,37.7,-0.346,0
194893.63,0.6,38717.46,94967.2,850,74.9,53.4,-0.019,0
48395.45,2.3,10033.42,14339.59,614,59.5,27.8,-0.458,0
17998.84,5.8,4146.76,9265.43,725,95.9,60.3,0.299,0
130919.76,9.3,64297.33,55064.66,660,93.1,33.5,-0.111,0
42119.47,2.0,13679.93,11543.87,620,83.4,19.4,0.406,0
57488.16,2.1,14061.02,26641.33,769,84.6,63.5,-0.36,0
111329.87,5.5,4215.26,29707.8,791,81.1,51.5,-0.072,0
22443.52,18.5,5227.73,14008.08,586,69.5,26.0,-0.81,1
27216.92,2.6,16840.04,8848.15,489,100.0,26.4,0.909,1
22455.64,3.3,3799.61,1000.0,532,82.6,47.0,0.672,0
35004.26,2.9,8289.95,16343.42,661,89.1,15.0,0.763,0
68995.75,4.0,19335.13,11394.7,733,77.0,41.4,0.537,0
72280.04,9.8,16602.45,38882.87,733,90.2,31.6,-0.207,0
63066.87,4.2,1486.95,21682.3,831,100.0,39.3,-0.015,0
24908.86,19.7,1730.58,1000.0,711,86.3,0.0,0.102,0
15205.97,4.7,3607.88,4634.18,649,89.0,16.9,0.131,0
